"ID","revision","have-sdat","have-odc","have-l-thumb","have-s-thumb","extra data"
"B4EAA8C6-656F4AD4-B89AE067-32FEA278","31","1","1","0","1",""
"6911DF42-297E40F0-9EBDF8EE-B9C6FBFF","32","1","1","0","1",""
"41DEA256-FBD34C4D-8AB4639B-94F04245","32","1","1","0","1",""
"CFB4B68A-E54B4E10-80A5EB5C-887DD53C","32","1","1","0","1",""
"15B63917-A5374631-AC82F5CC-DE462998","32","1","1","0","1",""
"E70E916E-98AD46A0-97CC743A-EC148BAA","32","1","1","0","1",""
"30F1ECF1-80EB4314-B432BF5F-08419F14","32","1","1","0","1",""
"487D4DD0-F19F46A2-8354AE11-CC747076","31","1","1","0","1",""
"5BE5C1FC-46D9452C-963C6EB1-E5990A48","31","1","1","0","1",""
"EA1CFF67-FA3C4BB0-9BFFF433-BECA2B6A","31","1","1","0","1",""
"15369D71-155A429A-B737EB27-61A77D83","31","1","1","0","1",""
"EDB772A9-34B943E6-82263BA3-A4D8460E","31","1","1","0","1",""
"1E19CCE7-3C214F7E-BB756C24-3C71A78A","31","1","1","0","1",""
"AEDFEDF4-EA9641DF-BD0F5497-AE2318BA","31","1","1","0","1",""
"A936E65E-DCBD410F-9AE52336-A832F1DF","35","1","1","0","1",""
"2DF19F38-0E3C4A58-A6CF6963-B733B5C1","35","1","1","0","1",""
"7BABA03D-1FD6431D-9B829214-C484780F","35","1","1","0","1",""
"F3EC9858-A96E46A7-81DCE9F2-A83864A7","32","1","1","0","1",""
"082A87E8-E23A40AB-B2FFCB5A-642EE14C","32","1","1","0","1",""
"081140CE-CFF540DA-82D0207C-D266EDAB","34","1","1","1","1",""
"33F9AD12-0EC3406E-89E06FAA-F670B18F","35","1","1","1","1",""
"BE674190-779F4449-9681FFA3-1A7E5A6A","31","1","1","1","1",""
"DC2EFCE5-45EB4888-B687191A-3342140B","37","1","1","1","1",""
"CED71AFC-A8E9484B-BB198885-EB066E41","31","1","1","1","1",""
"7100211D-A8774007-AAB9E56F-F30C3386","32","1","1","1","1",""
"ADA6E0FF-C8FC4B09-95A8A69B-21A45FA2","34","1","1","1","1",""
"706593F7-59484514-953F97DD-CF1C6237","35","1","1","0","1",""
"F1A16457-A9474F48-A95E1FAB-7D11E99D","33","1","1","0","1",""
"1541DA0F-8F7444AF-B95C4A09-FBE54795","33","1","1","0","1",""
"F84CF40C-8F3947A3-A9B8B2BC-AA887AC3","33","1","1","0","1",""
"89B65F7C-42834D42-A512739D-E21628C8","34","1","1","0","1",""
"DBFBC10E-903A4426-B7232A7E-96277CA2","33","1","1","0","1",""
"CAD468B8-F2BC42F6-8F50588B-B519C9C9","35","1","1","0","1",""
"6D340368-C04146EE-8E091277-0F441B63","35","1","1","0","1",""
"D2788D4C-D2134C46-BA26BEAF-D61398B4","32","1","1","1","1",""
"3C99A872-8CC340FE-9A5F8DBE-7406CEC0","32","1","1","1","1",""
"4FE57BE7-DA7F4DA5-9D03C0DD-25474C55","32","1","1","1","1",""
"8C522C3E-3F084434-A6CC8B28-4400AF57","32","1","1","1","1",""
"2CF31942-AEF64AF5-B8348A44-1804A7FF","32","1","1","1","1",""
"DD241EFB-2C8A4CB7-B7C7019A-99B33568","32","1","1","1","1",""
"8A51761B-49D0402F-A81B17A0-507EE4E6","32","1","1","1","1",""
"561AD47A-28574DFE-8D6B84D2-7FB86400","32","1","1","1","1",""
"5ECDE327-79834641-94EA0D22-BE6C5F27","32","1","1","1","1",""
"563A6C0C-E4D44973-A0A9CFD9-BA2C4FCA","32","1","1","1","1",""
"D4F29C6D-223B4946-88011026-8891808D","32","1","1","1","1",""
"D042D093-12494FDF-B9731029-7F380972","32","1","1","1","1",""
"541DBAE7-E7FB49E1-84F64762-C4ACF1A6","32","1","1","1","1",""
"82B6C8FE-A1BD4EDB-AB13CEC5-AC103025","32","1","1","1","1",""
"B9DA3368-F2AF4F41-B779AC34-7975E0AA","32","1","1","1","1",""
"825FA5EA-E0AF41DA-B98F3DA3-E716C847","31","1","1","0","1",""
"3EE9E5E3-03D14F6E-9B08201A-D9858641","31","1","1","0","1",""
"792C5A06-65404B83-B8C1006F-1C5240CA","31","1","1","1","1",""
"99BE9C88-6EC34A86-BB90F468-D8553AF7","35","1","1","1","1",""
"13902347-A94A43E4-B637D35C-8739155F","34","1","1","1","1",""
"7DFCEF36-6309493F-98164C83-6727F46B","32","1","1","1","1",""
"A5A96B60-735D4691-B389F7E4-6B639E29","32","1","1","1","1",""
"B10BB337-B0764847-B9699252-AFC334D4","32","1","1","1","1",""
"19A74DE6-05854612-AF10B7A9-3F256EFB","0","1","1","0","1",""
"F6DB7809-3B7640B8-8D14C1B8-823C7162","34","1","1","0","1",""
"B9867B6D-98174DB2-A27DA8F7-32C51251","31","1","1","1","1",""
"DCC1AC66-77344115-990F84B1-83258593","34","1","1","0","1",""
"7B26E6EA-7DAD49F8-AB143521-61CB5847","34","1","1","0","1",""
"C2C88B2E-7BA740D9-901A82DB-A3194966","1","1","1","0","1",""
"B049A26F-126A43AD-B2D1948F-06CBC65F","31","1","1","0","1",""
"A52A8B41-E55940A1-A8044C2C-707AB80D","31","1","1","0","1",""
"751DB1A7-B1CC4235-8C788A8C-9C885726","31","1","1","0","1",""
"A3BA24A1-EC8C4B5E-9643D9EE-280E89A1","31","1","1","0","1",""
"35F27F34-55264754-9417FA73-6A3074A1","31","1","1","0","1",""
"BD4858D2-F8BB48AE-B255FCB2-ECF422B4","31","1","1","0","1",""
"F4453AEE-D7CA4A08-9F186405-40F34656","31","1","1","0","1",""
"99FAAD58-A2314D14-9C46E998-04DFBBB3","31","1","1","0","1",""
"CF3D3DE4-F90F4449-8BA19C22-8756F4BD","31","1","1","0","1",""
"F243290C-2D54495F-A5830155-0D65756C","31","1","1","0","1",""
"09A98978-57424466-AE215D5D-838EC737","31","1","1","0","1",""
"38322DF1-77834E07-AD119A4E-6F210F30","31","1","1","0","1",""
"CA7E4BB6-191240C1-8DE6B64C-069007A0","31","1","1","0","1",""
"24152B0F-8DDF47CF-A823A2E6-4A04B023","31","1","1","0","1",""
"2B225997-A6774C77-8B3E8B1E-7363FEC1","31","1","1","1","1",""
"FC4E2AE6-70344C89-A857E7A9-AE611420","32","1","1","1","1",""
"00000000-00000000-00000000-00060011","0","1","1","0","1",""
"0212C7AF-B7DC4E01-A31503A1-CBC5AE09","0","1","1","0","1",""
"20D6E9AD-A6A64EDD-B95AB97B-0F7BA55A","0","1","1","0","1",""
"2688AA69-374C49CE-878C1CA7-F6EAF44B","0","1","1","0","1",""
"2972FC06-1E2347FF-85C319A2-485E37E9","0","1","1","0","1",""
"679E8FF8-E79C4595-BCC8690A-1C2B6A4E","0","1","1","0","1",""
"C034B897-A7CB4A38-BA202C4D-B4A71964","34","1","1","0","1",""
"00000000-00000000-00000000-00060012","34","1","1","0","1",""
"C7ABB118-8C0B4832-8B7950E7-6D26A81D","34","1","1","0","1",""
"00000000-00000000-00000000-00010067","34","1","1","0","1",""
"00000000-00000000-00000002-00000011","34","1","1","0","1",""
"00000000-00000000-00000001-0000001B","34","1","1","0","1",""
"DA77D41A-86E4475B-A31E9190-C0199F17","31","1","1","1","1",""
"95BFC13E-84B64DA3-8D1277F1-D0040F69","31","1","1","1","1",""
"5995CBA1-28514EAD-AC1A4D0A-0A688EF8","31","1","1","1","1",""
"6F00DF92-7EB64B02-81E0B33E-CF7C48DD","32","1","1","1","1",""
"C242176A-9F974F13-8E7FD8C8-688AA7B6","31","1","1","1","1",""
"17898157-8D4A415B-9EE0A3D0-B9362A58","33","1","1","1","1",""
"00000000-00000000-00000000-00030012","0","1","1","0","1",""
"6CE573A1-8F9C4E94-92A6C617-9B6AFD26","31","1","1","1","1",""
"9C3560D8-B3864B01-AB6E2B92-7DD15A7D","31","1","1","1","1",""
"81F38081-A5964654-AD68E1F3-A05508CB","31","1","1","1","1",""
"648E173A-2EDA4DB5-B65A4C37-F500439E","31","1","1","1","1",""
"968D015B-F3544392-9B9C5960-5D08B45A","32","1","1","1","1",""
"00000000-00000000-00000000-0000000B","37","1","1","1","1",""
"4A3E9C53-AD474832-859F13B6-C6CE29D8","34","1","1","1","1",""
"9B489219-E3804279-9B774E69-226209CA","32","1","1","1","1",""
"0F512BC9-FC4444A3-AC5C8606-513D7FB5","33","1","1","1","1",""
"ACA3DA35-A40A447C-93D56B54-B4449DD0","33","1","1","1","1",""
"3AEA7E8D-F9EC4447-8FDAEE3E-4B329C63","32","1","1","1","1",""
"81F209BC-5ED54D71-AAE4EC2A-BD38AFF3","32","1","1","1","1",""
"8BE54D4E-A9CE48EE-8B7217F2-32E1E99C","31","1","1","1","1",""
"00000000-00000000-00000000-00010025","0","1","1","0","1",""
